City,Country/Region,Tair,HI,UTCI,APT,Hx,TsWBG,TWBG,Ts,Tw,BFI (Daily Mean)
Buenos Aires,Argentina,14080.27492,14091.21013,14108.77485,14106.33154,14118.42752,14127.395,14116.51175,14111.18904,14158.76376,Tair
Cordoba,Argentina,11762.59291,11776.00146,11800.26653,11806.77405,11809.72753,11817.40462,11815.65732,11807.59471,11831.56998,Tair
Rosario,Argentina,11729.01314,11753.65142,11774.25566,11787.24618,11802.01316,11815.92564,11790.78602,11792.57329,11850.22599,Tair
Brisbane,Australia,24786.45412,24780.05614,24794.26716,24798.3342,24812.55592,24819.11396,24781.05235,24811.4938,24837.63077,HI
Melbourne,Australia,25734.80618,25753.42128,25749.57688,25772.63286,25788.71005,25801.7033,25790.21734,25809.10744,25837.0957,Tair
Sydney,Australia,26871.622,26879.2687,26952.15697,26932.46156,26911.32896,26916.68356,26898.21635,26903.53882,26933.34753,Tair
Belo Horizonte,Brazil,25318.09664,25294.63365,25298.00313,25295.19402,25312.85923,25325.02659,25311.55844,25306.57921,25359.29231,HI
Brasilia,Brazil,22592.67111,22591.30824,22596.68466,22595.36536,22603.58291,22609.62451,22604.30554,22599.99135,22610.19939,HI
Curitiba,Brazil,23260.53973,23263.0294,23277.80543,23269.36582,23272.27783,23275.03621,23263.84321,23270.91177,23285.92124,Tair
Caratinga,Brazil,12004.1374,12001.38714,12008.5768,12005.71179,12003.9165,12004.37909,12006.70501,12002.96879,12004.98565,HI
Divinopolis,Brazil,15733.04813,15731.67086,15730.84545,15732.72168,15735.01925,15735.86164,15739.63013,15737.28268,15739.40803,UTCI
Fortaleza,Brazil,25011.77953,25011.293,25012.27878,25007.1965,25006.74213,25005.43008,25007.76947,25010.01061,25004.54407,Tw
Juiz de Fora,Brazil,11573.32621,11573.53298,11572.6308,11572.33931,11572.56725,11572.49379,11571.88577,11572.52127,11572.60798,TWBG
Londrina,Brazil,19530.63495,19546.75872,19555.22878,19563.67424,19584.34899,19594.43799,19568.74335,19574.40284,19620.04643,Tair
Maceio,Brazil,21991.23954,21995.3999,22000.1886,22003.72633,21993.59011,21994.79532,21988.66518,21992.68343,21999.44252,TWBG
Palmas,Brazil,13420.31779,13415.49973,13424.92335,13426.2824,13431.06633,13435.7053,13431.80138,13430.56566,13440.59363,HI
Porto Alegre,Brazil,24434.11822,24416.95085,24462.33753,24457.91918,24450.61314,24459.55387,24459.95104,24445.49407,24496.30811,HI
Rio Branco,Brazil,16514.4199,16514.10077,16517.36324,16516.37487,16515.03795,16516.12805,16515.62116,16513.85294,16519.00294,Ts
Sao Luis,Brazil,19595.91716,19603.38943,19608.34442,19612.26585,19607.45882,19608.61633,19605.61134,19605.65016,19610.57127,Tair
Salvador,Brazil,25042.65393,25044.72307,25045.81975,25046.21408,25049.9861,25050.59485,25047.1744,25048.13374,25051.36265,Tair
Santa Maria,Brazil,17143.49083,17140.66814,17155.1257,17149.23684,17141.52694,17142.23682,17151.62276,17141.22221,17145.0694,HI
Sao Paulo,Brazil,29389.33278,29400.43578,29501.12434,29474.08506,29504.67379,29548.98573,29502.11784,29477.79515,29700.1928,Tair
Teresópolis,Brazil,14795.57533,14792.62927,14804.6734,14801.54266,14800.07223,14801.11635,14800.31313,14799.53937,14805.25479,HI
Vitoria,Brazil,14915.82332,14913.85254,14922.63092,14916.51494,14913.35314,14913.25412,14912.58002,14913.96255,14912.86414,TWBG
Abbotsford,Canada,20328.25669,20328.22807,20322.65599,20326.81613,20329.43297,20330.07576,20327.87887,20329.55087,20333.26545,UTCI
Calgary,Canada,28449.09483,28448.18703,28444.98907,28445.76319,28446.59164,28446.11127,28447.43512,28445.81655,28444.71068,Tw
Edmonton,Canada,29444.18572,29444.62334,29442.94934,29444.82227,29445.9016,29446.00228,29444.63842,29446.58873,29446.97504,UTCI
Halifax,Canada,25213.62741,25211.53631,25214.56823,25211.29997,25210.1424,25209.66504,25212.27413,25211.08287,25208.45748,Tw
Hamilton,Canada,27516.02497,27518.83212,27515.6995,27517.05133,27520.26396,27520.90775,27516.58171,27519.15992,27521.7168,UTCI
Kingston,Canada,22203.32311,22203.40907,22209.30118,22205.41665,22202.5205,22202.52021,22202.72212,22202.50752,22202.09305,Tw
Kitchener-Waterloo,Canada,24965.20363,24964.82833,24965.65881,24964.97528,24967.36523,24967.70313,24966.63683,24967.84899,24970.10302,HI
London Ontario,Canada,26550.14153,26549.49406,26552.84394,26551.6718,26552.38124,26552.73198,26550.62737,26552.5919,26554.38771,HI
Montreal,Canada,34424.60403,34417.29077,34430.01268,34426.45631,34461.66872,34471.60075,34427.83208,34459.81794,34517.27052,HI
Niagara,Canada,26916.65226,26915.93404,26937.65366,26924.78456,26919.95451,26920.85888,26918.01354,26918.49804,26923.3474,HI
Oakville,Canada,23942.74708,23941.5955,23947.71415,23944.03334,23941.54051,23941.5067,23942.45975,23941.64465,23941.84338,TsWBG
Oshawa,Canada,25197.67656,25196.56793,25202.83327,25201.17213,25198.0264,25197.91537,25197.36901,25198.51532,25197.18309,HI
Ottawa,Canada,29296.6478,29296.51795,29299.22993,29296.02842,29298.35401,29299.12408,29300.25271,29299.17766,29303.41148,APT
Regina,Canada,22649.63745,22650.87302,22648.9495,22650.95962,22651.68394,22651.86752,22650.90723,22652.15038,22651.00484,UTCI
Sarnia,Canada,18467.00493,18467.79362,18472.16008,18469.2589,18467.33895,18467.35261,18467.60615,18467.10136,18466.70638,Tw
Sudbury,Canada,21471.07064,21472.80268,21481.50092,21477.7546,21477.08504,21478.00988,21474.66037,21475.5153,21480.36249,Tair
Saint John NB,Canada,22033.81452,22032.86279,22031.80971,22028.83622,22029.7291,22029.05109,22027.57417,22030.95843,22027.18429,Tw
St. John's NFL,Canada,23510.90199,23511.4173,23519.95049,23514.39385,23510.59572,23510.54719,23510.78953,23510.67664,23510.18963,Tw
Sault Ste. Marie,Canada,18709.36642,18707.75304,18714.23759,18709.29031,18706.82234,18706.72409,18707.5862,18706.96417,18705.96709,Tw
Saskatoon,Canada,23848.57903,23847.8334,23849.73448,23847.75428,23848.73375,23849.17687,23849.44657,23850.03049,23850.81295,APT
