City,t_mean,t_std,rh_mean,rh_std,corr_t_rh,elevation,dis_coast,lat,gdp,kg,country,region,BFI (Daily Mean)
Buenos Aires,21.295,3.221,72.297,9.167,0.11632,1.044,2,-34.604,7193,Cfa,Argentina,South America,Tair
Cordoba,20.776,3.359,68.653,12.167,-0.09601,432.694,573,-31.420,7193,Cwa,Argentina,South America,Tair
Rosario,21.871,3.630,69.728,10.002,-0.18575,8.605,211,-32.944,7193,Cfa,Argentina,South America,Tair
Brisbane,22.980,2.176,74.793,7.841,0.06510,84.936,10,-27.467,20536.4,Cfa,Australia,Australia,HI
Melbourne,17.529,4.093,68.076,11.078,-0.46101,32.518,7,-37.783,20536.4,Cfb,Australia,Australia,Tair
Sydney,20.650,2.158,74.541,8.921,0.28348,26.614,3,-33.868,20536.4,Cfa,Australia,Australia,Tair
Belo Horizonte,23.121,1.676,74.135,10.484,-0.66393,804.633,332,-19.817,3596.2,Cwa,Brazil,South America,HI
Brasilia,22.383,1.466,76.220,11.558,-0.87172,1112.252,871,-15.780,3596.2,Aw,Brazil,South America,HI
Curitiba,19.805,2.395,85.760,5.885,-0.38473,963.173,56,-25.433,3596.2,Cfb,Brazil,South America,Tair
Caratinga,24.037,1.558,77.417,7.483,-0.59194,772.408,182,-19.790,3596.2,Aw,Brazil,South America,HI
Divinopolis,22.898,1.663,76.293,10.093,-0.61771,734.679,317,-20.139,3596.2,Cwa,Brazil,South America,UTCI
Fortaleza,27.037,0.559,78.949,4.529,-0.51732,10.996,0,-3.717,3596.2,As,Brazil,South America,Tw
Juiz de Fora,22.951,1.843,80.689,6.703,-0.51763,770.062,99,-21.764,3596.2,Cwa,Brazil,South America,TWBG
Londrina,23.630,1.933,76.825,9.754,-0.33713,520.432,338,-23.310,3596.2,Cfa,Brazil,South America,Tair
Maceio,26.239,0.599,80.459,4.536,-0.62197,34.374,0,-9.666,3596.2,Am,Brazil,South America,TWBG
Palmas,26.865,1.390,59.213,12.488,-0.41670,326.113,849,-10.167,3596.2,Aw,Brazil,South America,HI
Porto Alegre,23.221,2.783,76.725,7.206,-0.17935,30.363,3,-30.033,3596.2,Cfa,Brazil,South America,HI
Rio Branco,26.092,1.448,82.427,8.478,-0.55014,146.314,896,-9.975,3596.2,Am,Brazil,South America,Ts
Sao Luis,27.048,0.391,79.504,2.393,-0.49145,12.249,1,-2.530,3596.2,Aw,Brazil,South America,Tair
Salvador,26.326,0.696,80.266,4.027,-0.51201,40.626,2,-13.005,3596.2,Af,Brazil,South America,Tair
Santa Maria,22.725,3.084,75.523,9.500,-0.21853,374.885,243,-29.684,3596.2,Cfa,Brazil,South America,HI
Sao Paulo,21.896,2.099,81.256,6.156,-0.49412,753.173,49,-23.548,3596.2,Cfa,Brazil,South America,Tair
Teresópolis,23.439,2.058,82.449,6.457,-0.60155,954.121,32,-22.417,3596.2,Cfa,Brazil,South America,HI
Vitoria,25.289,1.144,83.266,3.975,-0.30115,12.186,0,-20.319,3596.2,Aw,Brazil,South America,TWBG
Abbotsford,13.798,3.906,76.617,9.159,-0.48992,44.485,35,49.055,22109.6,Cfb,Canada,North America,UTCI
