City,"T_mean
(?)","T_std
(?)","RH_mean
(%)","RH_std
(%)",Corr_T-RH,"P_mean
(mm)","Elevation
(m)","Dis_coast
(km)","Lat
(?)","GDP
per capita
(USD)",KG,Country,Region
Buenos Aires,21.3,3.2,72.3,9.2,0.06,250.2,1,2,-34.6,7193,Cfa,Argentina,South America
Cordoba,20.8,3.4,68.7,12.2,-0.04,131.7,432.7,573,-31.42,7193,Cwa,Argentina,South America
Rosario,21.9,3.6,69.7,10,-0.1,175.2,8.6,211,-32.94,7193,Cfa,Argentina,South America
Brisbane,23,2.2,74.8,7.8,0.04,617.2,84.9,10,-27.47,20536.4,Cfa,Australia,Australia
Melbourne,17.5,4.1,68.1,11.1,-0.45,314.2,32.5,7,-37.78,20536.4,Cfb,Australia,Australia
Sydney,20.7,2.2,74.5,8.9,0.24,508.2,26.6,3,-33.87,20536.4,Cfa,Australia,Australia
Belo Horizonte,23.1,1.7,74.1,10.5,-0.66,65.6,804.6,332,-19.82,3596.2,Cwa,Brazil,South America
Brasilia,22.4,1.5,76.2,11.6,-0.87,57.9,1112.3,871,-15.78,3596.2,Aw,Brazil,South America
Curitiba,19.8,2.4,85.8,5.9,-0.38,75.3,963.2,56,-25.43,3596.2,Cfb,Brazil,South America
Caratinga,24,1.6,77.4,7.5,-0.59,68.9,772.4,182,-19.79,3596.2,Aw,Brazil,South America
Divinopolis,22.9,1.7,76.3,10.1,-0.62,64.8,734.7,317,-20.14,3596.2,Cwa,Brazil,South America
Fortaleza,27,0.6,78.9,4.5,-0.45,220.8,11,0,-3.72,3596.2,As,Brazil,South America
Juiz de Fora,23,1.8,80.7,6.7,-0.52,69.9,770.1,99,-21.76,3596.2,Cwa,Brazil,South America
Londrina,23.6,1.9,76.8,9.8,-0.28,63,520.4,338,-23.31,3596.2,Cfa,Brazil,South America
Maceio,26.2,0.6,80.5,4.5,-0.61,54.3,34.4,0,-9.67,3596.2,Am,Brazil,South America
Palmas,26.9,1.4,59.2,12.5,-0.4,54.3,326.1,849,-10.17,3596.2,Aw,Brazil,South America
Porto Alegre,23.2,2.8,76.7,7.2,-0.04,114.1,30.4,3,-30.03,3596.2,Cfa,Brazil,South America
Rio Branco,26.1,1.4,82.4,8.5,-0.55,55.7,146.3,896,-9.98,3596.2,Am,Brazil,South America
Sao Luis,27,0.4,79.5,2.4,-0.47,92.7,12.2,1,-2.53,3596.2,Aw,Brazil,South America
Salvador,26.3,0.7,80.3,4,-0.5,57.1,40.6,2,-13.01,3596.2,Af,Brazil,South America
Santa Maria,22.7,3.1,75.5,9.5,-0.14,109.7,374.9,243,-29.68,3596.2,Cfa,Brazil,South America
Sao Paulo,21.9,2.1,81.3,6.2,-0.48,68.5,753.2,49,-23.55,3596.2,Cfa,Brazil,South America
Teresópolis,23.4,2.1,82.4,6.5,-0.6,67.4,954.1,32,-22.42,3596.2,Cfa,Brazil,South America
Vitoria,25.3,1.1,83.3,4,-0.21,68.6,12.2,0,-20.32,3596.2,Aw,Brazil,South America
Abbotsford,13.8,3.9,76.6,9.2,-0.49,366.4,44.5,35,49.05,22109.6,Cfb,Canada,North America
Calgary,11.9,5.5,62.8,14.7,-0.21,346.1,1056.4,656,51.05,22109.6,Dfc,Canada,North America
Edmonton,12.2,5.7,66.5,12.5,-0.09,373.2,659.2,792,53.55,22109.6,Dfb,Canada,North America
Halifax,14.3,4.5,79.5,10.2,0.19,371.8,20.3,2,44.65,22109.6,Dfb,Canada,North America
Hamilton,17.1,5.2,72.2,8.9,0.16,763.6,208.3,523,43.26,22109.6,Dfb,Canada,North America
Kingston,16.9,5.2,76.2,8.7,0.11,461.4,81,424,44.23,22109.6,Dfb,Canada,North America
Kitchener-Waterloo,15.7,5.5,72.6,10.5,-0.02,455.4,325.4,569,43.45,22109.6,Dfb,Canada,North America
London Ontario,16.6,5.5,72.8,9.8,0.07,974.2,277.5,564,43.03,22109.6,Dfb,Canada,North America
Montreal,16.4,5.6,71.9,10.1,0.01,406.7,10.2,236,45.51,22109.6,Dfb,Canada,North America
Niagara,17.6,5.2,73,8.6,0.13,974.2,174.6,466,43.08,22109.6,Dfb,Canada,North America
Oakville,16.7,5.3,72.3,9.2,0.11,455.4,78.5,531,43.45,22109.6,Dfb,Canada,North America
Oshawa,16.4,5.4,72,10.2,-0.01,363.2,95.2,522,43.9,22109.6,Dfb,Canada,North America
Ottawa,15.5,5.6,73.2,10.8,-0.01,406.7,78.9,382,45.42,22109.6,Dfb,Canada,North America
Regina,13.4,6.4,64.9,13.1,-0.15,323.7,577.4,1054,50.46,22109.6,Dfb,Canada,North America
Sarnia,17.6,5.4,72.7,8.5,0.1,974.2,188.1,630,43,22109.6,Dfb,Canada,North America
Sudbury,14.4,5.6,74.4,11.2,0.04,401.3,247,546,46.29,22109.6,Dfb,Canada,North America
Saint John NB,12.7,3.6,82.6,9.6,0.33,396.5,27.1,4,45.27,22109.6,Dfb,Canada,North America
St. John's NFL,11.2,4.6,83.5,8.4,0.08,353.4,92.9,2,47.56,22109.6,Dfb,Canada,North America
Sault Ste. Marie,14.1,5.3,77.6,8.8,0.13,371.6,210.8,595,46.53,22109.6,Dfb,Canada,North America
Saskatoon,13.2,6.3,63.8,12.7,-0.13,356.3,500.6,1039,52.13,22109.6,Dfb,Canada,North America
Thunder Bay,12.8,5.7,76.1,9.9,0,383.6,181.6,689,48.41,22109.6,Dfb,Canada,North America
Toronto,16.6,5.4,72.3,9.8,0.01,463.8,79.5,526,43.65,22109.6,Dfb,Canada,North America
Victoria,12.8,2.1,83.7,5.2,-0.05,383.6,0.8,0,48.43,22109.6,Csb,Canada,North America
Vancouver,14.2,3.7,77.2,8.6,-0.56,384,34.3,0,49.25,22109.6,Cfb,Canada,North America
Windsor,18.7,5.5,71.2,9,0.03,531,183.3,633,42.31,22109.6,Dfa,Canada,North America
Winnipeg,14.4,6.5,68.8,11.4,-0.15,408.3,231.6,833,49.88,22109.6,Dfb,Canada,North America
Chillan,17.1,2.9,67.9,8.7,-0.45,336.1,118.9,73,-36.61,10217.3,Csb,Chile,South America
Santiago,19.6,2.8,58,9.4,-0.43,214.5,579.5,87,-33.45,10217.3,Csb,Chile,South America
Temuco,13.9,2.9,77.4,7.1,-0.38,393.3,163.5,68,-38.74,10217.3,Cfb,Chile,South America
Valparaiso,16.1,1.6,77.9,6.4,-0.19,202.9,119.2,0,-33.05,10217.3,Csb,Chile,South America
Hong Kong,26.6,2.3,84.8,5.4,-0.35,1450.3,41.2,0,22.28,1740.1,Cwa,China,East Asia
Lanzhou,16.9,4.8,54.2,16,-0.19,397.5,1676.3,1248,36.06,1740.1,BSk,China,East Asia
Shenyang,19.6,6,67.5,14.1,0.29,700.5,44.6,152,41.8,1740.1,Dwa,China,East Asia
Suzhou,24.3,4.4,78,8.2,0.06,948.4,7.4,58,31.3,1740.1,Cfa,China,East Asia
Taiyuan,19.1,5.3,61.4,16,-0.1,418.1,796.9,440,37.87,1740.1,Dwa,China,East Asia
Tianjin,22.7,5.3,64.6,15.3,0.13,562.3,5.5,44,39.13,1740.1,Dwa,China,East Asia
Xian,22.8,5,64.9,14.7,-0.25,667.2,393.4,910,34.27,1740.1,Cwa,China,East Asia
Bogota,15.7,1,75.1,11.8,-0.86,729.4,2549.2,325,4.71,3709.1,Cfb,Colombia,South America
Barranquilla,27.3,0.7,84.7,2.3,-0.66,717.6,37.7,13,10.92,3709.1,Aw,Colombia,South America
Cali,21.7,0.7,83,2.9,-0.68,768.9,1038.1,76,3.38,3709.1,Af,Colombia,South America
Cartagena,27.3,0.7,86,2,-0.48,783.4,7,1,10.45,3709.1,Aw,Colombia,South America
Medellin,17.2,0.7,83.7,5.6,-0.64,910.1,2043.3,188,6.22,3709.1,Af,Colombia,South America
San José,21.6,0.7,89.8,4.1,-0.62,828.7,637.2,11,9.63,6900,Am,Costa Rica,Central America
Brno,15.4,4.9,69.5,10.2,-0.3,408.4,244.3,443,49.2,11667,Cfb,Czech Republic,Central Europe
Ostrava,14.9,4.8,74.2,9.7,-0.24,548.8,234.7,495,49.82,11667,Cfb,Czech Republic,Central Europe
Prague,15.3,4.8,71.6,10.4,-0.49,414.5,257,390,50.08,11667,Cfb,Czech Republic,Central Europe
South Bohemia,14.9,4.8,72.2,9.8,-0.27,446.3,402.5,351,48.95,11667,Cfb,Czech Republic,Central Europe
Guayaquil,24.2,1.2,83.4,3,0.11,201.1,5.6,2,-2.2,6050,Aw,Ecuador,South America
Quito,12.9,0.8,76.4,8.2,-0.67,179.1,2626.4,149,-0.18,6050,Cfb,Ecuador,South America
Kohtla-Järve linn,10.4,7.6,74.5,10.8,-0.12,388.3,74.8,4,59.36,16586,Dfb,Estonia,North Europe
